ITEM_ID,ITEM_NAME,CATEGORY_L1,PRICE
5462,Laptop,Electronics,197.0256077246914
5007,Board Game,Toys & Games,258.8735072281858
9777,Biography,Books,434.272560275442
4254,Laptop,Electronics,185.93630842520656
8949,Puzzle,Toys & Games,169.09077166535087
556,Knife Set,Home & Kitchen,194.46833883400222
168,Soccer Ball,Sports,222.58600157304863
372,Puzzle,Toys & Games,158.37127098649594
1440,Doll,Toys & Games,159.8271270385098
8161,Running Shoes,Sports,422.88607049842284
8293,Action Figure,Toys & Games,270.4182175479731
7207,Coffee Maker,Home & Kitchen,487.6594979346026
9482,Swim Goggles,Sports,150.64358203294896
7416,Jeans,Fashion,365.95329115327496
1583,Jeans,Fashion,124.03630404664227
1730,Bed Sheet,Home & Kitchen,175.9283347822377
3565,Bed Sheet,Home & Kitchen,321.8169464915032
9409,Hat,Fashion,207.26260564495615
4417,Bed Sheet,Home & Kitchen,414.71008058314357
8351,Biography,Books,150.4306494925072
1359,Board Game,Toys & Games,307.5847219797928
4368,Dress,Fashion,468.83813973838653
476,Coffee Maker,Home & Kitchen,98.04909606593772
1447,Coffee Maker,Home & Kitchen,370.97388317044386
6758,Knife Set,Home & Kitchen,7.771907065230819
1083,Yoga Mat,Sports,386.2919857783576
969,Swim Goggles,Sports,196.70869003601933
2265,Tennis Racket,Sports,60.41892292141987
9046,Smartwatch,Electronics,68.28622362626113
9089,Swim Goggles,Sports,253.07561190557908
6854,Smartwatch,Electronics,5.871643960547762
2754,Running Shoes,Sports,25.771618029177453
7288,Card Game,Toys & Games,321.10087823924846
9491,Towel Set,Home & Kitchen,93.94961673808848
8314,Action Figure,Toys & Games,342.9977935709681
6079,Biography,Books,223.91332893229807
5264,Lamp,Home & Kitchen,218.60611069385297
1538,Science Textbook,Books,11.88733355294275
6344,Smartphone,Electronics,217.84933593466772
1276,Mystery Novel,Books,43.37152580099383
2031,Hat,Fashion,342.2281279105397
7553,Hat,Fashion,444.77869443469734
8897,Smartphone,Electronics,17.974768911357145
8827,Biography,Books,413.76250011068373
8876,Yoga Mat,Sports,92.01961638555463
43,Board Game,Toys & Games,364.5258955857961
7610,Doll,Toys & Games,27.921078191348077
3179,Lamp,Home & Kitchen,272.81716539675955
566,Tennis Racket,Sports,53.67047848250061
2638,Smartwatch,Electronics,486.7732144315225
1831,Smartphone,Electronics,26.38183351777501
